block_id	drug1	drug2	drug3	conc1	conc2	conc3	response	conc_unit1	conc_unit2	conc_unit3
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0	10	1.339111	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0	10	6.209888	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0	10	46.101257	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0	10	83.593506	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0	10	98.72804	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0	10	106.69562	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.075	5	5.645098	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.075	5	7.985681	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.075	5	2.226685	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.075	5	0.709813	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.075	5	0.686803	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.075	5	0.621366	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.075	5	0.130369	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.075	5	0.0395	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.075	5	0.17433	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0	0.075	5	-0.767741	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.6	0.0375	5	1.600656	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.3	0.0375	5	2.180383	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.15	0.0375	5	1.768023	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.075	0.0375	5	0.771536	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0375	0.0375	5	0.686924	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.01875	0.0375	5	1.753288	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.009375	0.0375	5	0.900593	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.0046875	0.0375	5	1.458924	uM	uM	uM
1	Piperaquine	Pyronaridine Tetraphosphate	Darunavir Ethanolate	0.00234375	0.0375	5	1.251351	uM	uM	uM
